gender,age,residence,daily allowance,attendance,dismissal,travel,breaks,transportation,foodCampus,Q1,Q2,Q3,,,
Female,22,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Male,22,Bacoor,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Male,22,Silang,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Orange house,Rice meal,Below ₱100,,,
Male,22,Bacoor,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱100 to ₱200,,,
Male,25,General Trias,₱200 to ₱500,3 to 4 times a week,Noon (12:00PM),More than 1km,2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Savemore,Rice meal,₱100 to ₱200,,,
Female,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,SM Dasma,Rice meal,"₱500 to ₱1,000",,,
Male,21,Silang,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,Bicycle,Yes,Food Square,Rice meal,₱100 to ₱200,,,
Female,22,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc)",₱100 to ₱200,,,
Male,22,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,₱100 to ₱200,,,
Male,22,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Gate 1,Rice meal,₱100 to ₱200,,,
Female,23,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Female,23,General Trias,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,21,Dasma,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Jefcees,Rice meal,₱100 to ₱200,,,
Male,22,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Rice meal, Finger foods (e.g., fries, takoyaki, etc)",₱100 to ₱200,,,
Male,21,General Trias,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Prefer not to say,23,Imus,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Male,21,General Trias,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Karinderya,Rice meal,Below ₱100,,,
Male,22,Outside Cavite,Below ₱100,1 to 2 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Baon,"Finger foods (e.g., fries, takoyaki, etc)",Below ₱100,,,
Male,22,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,Bicycle,Yes,Food Square,"Rice meal, Water, I bring my own food",₱100 to ₱200,,,
Male,22,General Trias,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100,,,
Male,22,Imus,₱200 to ₱500,3 to 4 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,District Imus,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,20,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱200 to ₱500,,,
Prefer not to say,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Female,21,Outside Cavite,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",More than 1km,1 break,"Commute (e.g. jeep, bus, tricycle)",No,SM Dasma,Rice meal,₱200 to ₱500,,,
Male,21,Imus,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Jollibee,Rice meal,₱100 to ₱200,,,
Male,21,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Male,20,General Trias,"₱500 to ₱1,000",3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Waltermart,Rice meal,₱200 to ₱500,,,
Male,20,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Female,21,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), I bring my own food",₱100 to ₱200,,,
Female,20,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,21,Dasma,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,SM Dasma,"Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,20,General Trias,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Food panda,"Finger foods (e.g., fries, takoyaki, etc)",₱100 to ₱200,,,
Female,19,General Trias,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",No,McDonald's,Burger,₱100 to ₱200,,,
Female,21,Dasma,Below ₱100,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Male,21,Kawit,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100,,,
Female,22,Bacoor,₱200 to ₱500,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,23,Silang,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Female,21,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Female,23,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,22,Bacoor,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Female,20,Imus,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,22,Silang,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Female,22,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Male,22,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Male,20,Imus,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,23,Silang,₱200 to ₱500,1 to 2 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,22,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,20,Imus,₱100 to ₱200,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,21,Outside Cavite,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Gate 1,Rice meal,Below ₱100,,,
Female,22,Silang,₱200 to ₱500,3 to 4 times a week,Morning (e.g. 10:00AM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Gate 1,Rice meal,₱100 to ₱200,,,
Male,22,Imus,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Japanese restaurants in front of gate 1,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Female,22,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,20,Bacoor,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Male,22,Imus,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Male,21,Silang,₱200 to ₱500,3 to 4 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
